"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"08/31/2025","IDA20872","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002949","ECONOMIC RECOVERY II","1600000","0","0","1667177.55","1750773.98","0","0","0","0","0","0","0","06/01/2000","12/01/2029","01/09/1992","11/26/1991","10/08/1992","01/09/1993","02/09/1993"
"08/31/2025","IDA20880","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002966","POVERTY & SOC COSTS","28000000","83464.16","0","31071601.72","31982329.99","-0.02","0","-0.02","0","0","0","-0.02","02/01/2000","08/01/2029","02/08/1990","02/01/1990","06/29/1990","09/30/1995","09/11/1996"
"08/31/2025","IDA21240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002969","WATER SUPPLY II","60000000","24140.06","0","64064014.57","65788278.72","0","0","0","0","0","0","0","08/01/2000","02/01/2030","04/24/1990","04/12/1990","01/23/1991","06/30/1998","02/25/1999"
"08/31/2025","IDA21760","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002930","LIVESTOCK","21000000","3700409.78","0","18780568.37","19369370.42","-0.01","0","-0.01","0","0","0","-0.01","12/01/2000","06/01/2030","11/07/1990","09/11/1990","11/04/1991","09/30/1998","06/24/1999"
"08/31/2025","IDA21900","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002960","AG SECTOR ADJ CREDIT","100000000","1653823.01","0","97028257.61","99837875.39","-0.04","0","-0.04","0","0","0","-0.04","04/15/2001","10/15/2030","12/19/1990","12/13/1990","01/03/1991","12/31/1996","09/23/1997"
"08/31/2025","IDA22060","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002933","URBAN I","28700000","339647.92","0","29075247.07","29877571.98","0.03","0","0.03","0","0","0","0.03","04/15/2001","10/15/2030","03/12/1991","01/22/1991","11/11/1991","06/30/2000","01/12/2001"
"08/31/2025","IDA22680","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002929","UG POWER III","125000000","34689.56","0","121153927.06","127084363.13","0.02","0","0.02","0","0","0","0.02","08/15/2001","02/15/2031","01/09/1992","06/13/1991","10/08/1992","12/31/2001","06/18/2002"
"08/31/2025","IDA22681","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002929","UG POWER III","33000000","7851572.7","0","23743448.04","26722226.97","0","0","0","0","0","0","0","08/15/2001","02/15/2031","02/22/2000","01/20/2000","03/21/2000","12/31/2001","04/30/2002"
"08/31/2025","IDA23140","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002947","SAC I","125000000","0","0","129927007.94","134566563.71","0","0","0","0","0","0","0","03/01/2002","09/01/2031","12/12/1991","12/03/1991","01/03/1992","07/31/1994","09/28/1994"
"08/31/2025","IDA23141","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002947","SAC I","1400000","0","0","1374246.4","1478914.29","-0.01","0","-0.01","0","0","0","-0.01","03/01/2002","09/01/2031","01/08/1993","12/23/1992","02/05/1993","01/08/1994","02/09/1993"
"08/31/2025","IDA23150","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002968","ENTERPRISE DEVELOPMENT","65600000","24240118.29","0","43628365.46","45530101.42","-0.02","0","-0.02","0","0","0","-0.02","03/15/2002","09/15/2031","01/09/1992","12/03/1991","09/17/1992","06/30/2000","02/14/2001"
"08/31/2025","IDA23620","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002981","Northern Uganda Social Action Fund","71200000","0","0","74452277.03","76125631.28","0","0","0","0","0","0","0","10/01/2002","04/01/2032","06/12/1992","05/05/1992","12/09/1992","09/30/1998","03/05/1999"
"08/31/2025","IDA24180","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002975","ECON & FINANCIAL MAN","29000000","1653.1","0","30330216.26","31093861.36","0.01","0","0.01","0","0","0","0.01","10/01/2002","04/01/2032","09/22/1992","08/04/1992","10/26/1992","06/30/1999","10/14/1999"
"08/31/2025","IDA24240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002991","UG:AGRIC. EXTENSION PROGRAM","15790000","122615.95","0","15601801.85","16022708.03","-0.01","0","-0.01","0","0","0","-0.01","03/01/2003","09/01/2032","03/26/1993","09/29/1992","06/18/1993","12/31/1998","07/27/1999"
"08/31/2025","IDA24460","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002938","AGRIC. RES & TRG. PHASE I","25040000","58608.13","0","25186932.25","26069474.28","0.02","0","0.02","0","0","0","0.02","03/01/2003","09/01/2032","03/26/1993","12/15/1992","08/31/1993","09/30/2000","05/30/2001"
